,cat2,중분류,cat3,소분류
0,A0101,자연관광지,A01010100,국립공원
1,A0102,관광자원,A01010200,도립공원
2,A0201,역사관광지,A01010300,군립공원
3,A0202,휴양관광지,A01010400,산
4,A0203,체험관광지,A01010500,자연생태관광지
5,A0204,산업관광지,A01010600,자연휴양림
6,A0205,건축/조형물,A01010700,수목원
7,A0206,문화시설,A01010800,폭포
8,A0207,축제,A01010900,계곡
9,A0208,공연/행사,A01011000,약수터
10,A0301,레포츠소개,A01011100,해안절경
11,A0302,육상 레포츠,A01011200,해수욕장
12,A0303,수상 레포츠,A01011300,섬
13,A0304,항공 레포츠,A01011400,항구/포구
14,A0305,복합 레포츠,A01011500,어촌
15,A0401,쇼핑,A01011600,등대
16,,,A01011700,호수
17,,,A01011800,강
18,,,A01011900,동굴
19,,,A01020100,희귀동.식물
20,,,A01020200,기암괴석
21,,,A02010100,고궁
22,,,A02010200,성
23,,,A02010300,문
24,,,A02010400,고택
25,,,A02010500,생가
26,,,A02010600,민속마을
27,,,A02010700,유적지/사적지
28,,,A02010800,사찰
29,,,A02010900,종교성지
30,,,A02011000,안보관광
31,,,A02020100,유원지
32,,,A02020200,관광단지
33,,,A02020300,온천/욕장/스파
34,,,A02020400,이색찜질방
35,,,A02020500,헬스투어
36,,,A02020600,테마공원
37,,,A02020700,공원
38,,,A02020800,유람선/잠수함관광
39,,,A02030100,농.산.어촌 체험
40,,,A02030200,전통체험
41,,,A02030300,산사체험
42,,,A02030400,이색체험
43,,,A02030500,관광농원
44,,,A02030600,이색거리
45,,,A02040100,제철소
46,,,A02040200,조선소
47,,,A02040300,공단
48,,,A02040400,발전소
49,,,A02040500,광산
50,,,A02040600,식음료
51,,,A02040700,화학/금속
52,,,A02040800,기타
53,,,A02040900,전자/반도체
54,,,A02041000,자동차
55,,,A02050100,다리/대교
56,,,A02050200,기념탑/기념비/전망대
57,,,A02050300,분수
58,,,A02050400,동상
59,,,A02050500,터널
60,,,A02050600,유명건물
61,,,A02060100,박물관
62,,,A02060200,기념관
63,,,A02060300,전시관
64,,,A02060400,컨벤션센터
65,,,A02060500,미술관/화랑
66,,,A02060600,공연장
67,,,A02060700,문화원
68,,,A02060800,외국문화원
69,,,A02060900,도서관
70,,,A02061000,대형서점
71,,,A02061100,문화전수시설
72,,,A02061200,영화관
73,,,A02061300,어학당
74,,,A02061400,학교
75,,,A02070100,문화관광축제
76,,,A02070200,일반축제
77,,,A02080100,전통공연
78,,,A02080200,연극
79,,,A02080300,뮤지컬
80,,,A02080400,오페라
81,,,A02080500,전시회
82,,,A02080600,박람회
83,,,A02080700,컨벤션
84,,,A02080800,무용
85,,,A02080900,클래식음악회
86,,,A02081000,대중콘서트
87,,,A02081100,영화
88,,,A02081200,스포츠경기
89,,,A02081300,기타행사
90,,,A03010100,육상레포츠
91,,,A03010200,수상레포츠
92,,,A03010300,항공레포츠
93,,,A03020100,스포츠센터
94,,,A03020200,수련시설
95,,,A03020300,경기장
96,,,A03020400,인라인(실내 인라인 포함)
97,,,A03020500,자전거하이킹
98,,,A03020600,카트
99,,,A03020700,골프
100,,,A03020800,경마
101,,,A03020900,경륜
102,,,A03021000,카지노
103,,,A03021100,승마
104,,,A03021200,스키/스노보드
105,,,A03021300,스케이트
106,,,A03021400,썰매장
107,,,A03021500,수렵장
108,,,A03021600,사격장
109,,,A03021700,"야영장,오토캠핑장"
110,,,A03021800,암벽등반
111,,,A03021900,빙벽등반
112,,,A03022000,서바이벌게임
113,,,A03022100,ATV
114,,,A03022200,MTB
115,,,A03022300,오프로드
116,,,A03022400,번지점프
117,,,A03022500,자동차경주
118,,,A03022600,스키(보드) 렌탈샵
119,,,A03022700,트래킹
120,,,A03030100,윈드서핑/제트스키
121,,,A03030200,카약/카누
122,,,A03030300,요트
123,,,A03030400,스노쿨링/스킨스쿠버다이빙
124,,,A03030500,민물낚시
125,,,A03030600,바다낚시
126,,,A03030700,수영
127,,,A03030800,래프팅
128,,,A03040100,스카이다이빙
129,,,A03040200,초경량비행
130,,,A03040300,헹글라이딩/패러글라이딩
131,,,A03040400,열기구
132,,,A03050100,복합 레포츠
133,,,A04010100,5일장
134,,,A04010200,상설시장
135,,,A04010300,백화점
136,,,A04010400,면세점
137,,,A04010500,할인매장
138,,,A04010600,전문상가
139,,,A04010700,"공예,공방"
140,,,A04010800,관광기념품점
141,,,A04010900,특산물판매점
